槍術士ギルドマスター、イウェインは、冒険者の勇気を確かめようとしている。			槍術士ギルドマスター、イウェインは、冒険者の勇気を確かめようとしている。			勇気の証明							
中央森林に向かい、奴らの巣に、この「不快な臭いの虫ダンゴ」を仕掛けるんだ。奴らが、たちまち襲いかかってくるだろう。			中央森林に向かい、奴らの巣に、この「不快な臭いの虫ダンゴ」を仕掛けるんだ。奴らが、たちまち襲いかかってくるだろう。			不敵なる矛先							
1匹ならば、恐るに足らぬ魔物かもしれん。だが、2匹が同時に襲ってきたら……？			1匹ならば、恐るに足らぬ魔物かもしれん。だが、2匹が同時に襲ってきたら……？			不敵なる矛先							
さあ、行け。「乱されぬ心」で、奴らを打ち倒してこい！			さあ、行け。「乱されぬ心」で、奴らを打ち倒してこい！			不敵なる矛先							
よくやった。「乱されぬ心」を持てば、混乱の戦場でも、存分に力を発揮できるだろう。			よくやった。「乱されぬ心」を持てば、混乱の戦場でも、存分に力を発揮できるだろう。			不敵なる矛先							
それじゃ、次の試練だ。次は、お前に「動じぬ心」を教える。			それじゃ、次の試練だ。次は、お前に「動じぬ心」を教える。			不敵なる矛先							
恐ろしい敵や巨大な敵に襲われると、人は、驚き、圧倒され、思考を止めてしまうものだ。			恐ろしい敵や巨大な敵に襲われると、人は、驚き、圧倒され、思考を止めてしまうものだ。			不敵なる矛先							
思考が止まり、攻撃が止まっている間は、それだけ敵に攻撃を与える機会を逃している。つまり、槍術の着実な攻撃力を無駄にしているということ。			思考が止まり、攻撃が止まっている間は、それだけ敵に攻撃を与える機会を逃している。つまり、槍術の着実な攻撃力を無駄にしているということ。			不敵なる矛先							
次の試練は、どんな敵に襲われても「動じぬ心」を知り、素早く戦闘態勢へと転換する勇気を学ぶ戦いだ。			次の試練は、どんな敵に襲われても「動じぬ心」を知り、素早く戦闘態勢へと転換する勇気を学ぶ戦いだ。			不敵なる矛先							
「ウォーレン牢獄」へ向かい、付近の「崩れた石塔」に巣食った魔物を討伐してこい。			「ウォーレン牢獄」へ向かい、付近の「崩れた石塔」に巣食った魔物を討伐してこい。			不敵なる矛先							
あの辺りは、霊災以降どこからともなく現れ黒衣森に棲みついた魔物の巣窟になっている。			あの辺りは、霊災以降どこからともなく現れ黒衣森に棲みついた魔物の巣窟になっている。			不敵なる矛先							
果たして、どんな魔物がお前に襲いかかってくるか……。			果たして、どんな魔物がお前に襲いかかってくるか……。			不敵なる矛先							
どんな魔物に出くわしても、「動じぬ心」を持って立ち向かえば、必ずや、退けることができるだろう。			どんな魔物に出くわしても、「動じぬ心」を持って立ち向かえば、必ずや、退けることができるだろう。			不敵なる矛先							
試練を乗り越えたならば、ギルドに戻り、受付の「ジリアン」に声をかけろ。			試練を乗り越えたならば、ギルドに戻り、受付の「ジリアン」に声をかけろ。			不敵なる矛先							
彼女も、この「ふたつの心」を掴むのに難儀していた。彼女の助言は、必ずやお前の役に立つだろう。			彼女も、この「ふたつの心」を掴むのに難儀していた。彼女の助言は、必ずやお前の役に立つだろう。			不敵なる矛先							
戦いの中で成長していくことは大事だが、時には先人の言葉に耳を傾け、教えを聞くことも必要だ。それじゃ、行ってきな。			戦いの中で成長していくことは大事だが、時には先人の言葉に耳を傾け、教えを聞くことも必要だ。それじゃ、行ってきな。			不敵なる矛先							
「動じぬ心」を知る試練から、戻られたようですね。いかがでしょう、動じぬ心の意味を学ぶことができましたか？			「動じぬ心」を知る試練から、戻られたようですね。いかがでしょう、動じぬ心の意味を学ぶことができましたか？			不敵なる矛先							
あなたが学んだ「ふたつの心」……それから成る「勇気」を磨く術は、戦いの度に意識をすること、それ以外にはありません。			あなたが学んだ「ふたつの心」……それから成る「勇気」を磨く術は、戦いの度に意識をすること、それ以外にはありません。			不敵なる矛先							
初めは誰しも、思うようにいきません。私も、心が乱され、動転し、敗北や挫折を繰り返しました。それでも意識することを続けるのです。			初めは誰しも、思うようにいきません。私も、心が乱され、動転し、敗北や挫折を繰り返しました。それでも意識することを続けるのです。			不敵なる矛先							
戦いの場に立つ時は必ず、乱されてはいけない、動じてはいけないと強く念じるのです。			戦いの場に立つ時は必ず、乱されてはいけない、動じてはいけないと強く念じるのです。			不敵なる矛先							
戦いとは、力による戦闘ばかりではありません。ふたつの相反するものがぶつかり、葛藤が生まれる時、そこには戦いがあるのです。			戦いとは、力による戦闘ばかりではありません。ふたつの相反するものがぶつかり、葛藤が生まれる時、そこには戦いがあるのです。			不敵なる矛先							
どのような戦いの場においても、乱されぬ心、動じぬ心を常々意識することで、あなたの「勇気」は磨かれていくことでしょう。			どのような戦いの場においても、乱されぬ心、動じぬ心を常々意識することで、あなたの「勇気」は磨かれていくことでしょう。			不敵なる矛先							
イウェイン様には遠く及びませんが、私の助言が、少しでも鍛錬のお役にたてれば幸いです。それでは……			イウェイン様には遠く及びませんが、私の助言が、少しでも鍛錬のお役にたてれば幸いです。それでは……			不敵なる矛先							
……？なんだか、道場が騒がしいですね。何かあったのでしょうか？			……？なんだか、道場が騒がしいですね。何かあったのでしょうか？			不敵なる矛先							
(-？？？？-)この者たちが「槍術士」？ハッ……とんだ拍子抜けです。			(-？？？？-)この者たちが「槍術士」？ハッ……とんだ拍子抜けです。			不敵なる矛先							
(-？？？？-)もう一度言いますよ。槍術士ギルドの名を懸けて、私と勝負しろと言っているんです。			(-？？？？-)もう一度言いますよ。槍術士ギルドの名を懸けて、私と勝負しろと言っているんです。			不敵なる矛先							
(-？？？？-)それとも……無力を晒すのが怖いんですか。			(-？？？？-)それとも……無力を晒すのが怖いんですか。			不敵なる矛先							
んな挑発には乗らねぇよ。			んな挑発には乗らねぇよ。			不敵なる矛先							
(-？？？？-)フン……あなたたちは、どこまでも臆病ですね。昔から変わらず……			(-？？？？-)フン……あなたたちは、どこまでも臆病ですね。昔から変わらず……			不敵なる矛先							
(-？？？？-)……まだ、いましたか。			(-？？？？-)……まだ、いましたか。			不敵なる矛先							
おい、待て。そいつはまだ、槍を持ったばかりの……			おい、待て。そいつはまだ、槍を持ったばかりの……			不敵なる矛先							
(-？？？？-)このギルドの「槍術士」でしょう？　ならば、関係ない。			(-？？？？-)このギルドの「槍術士」でしょう？　ならば、関係ない。			不敵なる矛先							
(-？？？？-)彼女彼に免じて、ここは下がりましょう。ですが……			(-？？？？-)彼女彼に免じて、ここは下がりましょう。ですが……			不敵なる矛先							
(-？？？？-)槍術は、「勇気」の術。「臆病者」が槍を持つのは、冒涜です。			(-？？？？-)槍術は、「勇気」の術。「臆病者」が槍を持つのは、冒涜です。			不敵なる矛先							
(-？？？？-)……見極めさせてもらいましょう。			(-？？？？-)……見極めさせてもらいましょう。			不敵なる矛先							
試合は終いだ、さっさと稽古に戻れ！			試合は終いだ、さっさと稽古に戻れ！			不敵なる矛先							
おい、お前……なぜ退かなかった？			おい、お前……なぜ退かなかった？			不敵なる矛先							
あの槍術士、にわか仕込みの腕じゃねぇ。退くこともできねぇほど竦んじまったのか？それとも……			あの槍術士、にわか仕込みの腕じゃねぇ。退くこともできねぇほど竦んじまったのか？それとも……			不敵なる矛先							
……まあ、いい。			……まあ、いい。			不敵なる矛先							
あいつのことは、気にすんな。「道場破り」ってのは珍しいことじゃない。ギルドに属さぬ槍術士が、「勇気」を試しに来るのさ。			あいつのことは、気にすんな。「道場破り」ってのは珍しいことじゃない。ギルドに属さぬ槍術士が、「勇気」を試しに来るのさ。			不敵なる矛先							
それよりも、お前は今回の試練で学んだ「ふたつの心」を、しっかりと身に刻むことを考えろ。			それよりも、お前は今回の試練で学んだ「ふたつの心」を、しっかりと身に刻むことを考えろ。			不敵なる矛先							
敵に囲まれても、「乱されぬ心」で技を放つこと。そして、いかなる敵に出くわしても、「動じぬ心」で素早く攻撃へと転換すること。			敵に囲まれても、「乱されぬ心」で技を放つこと。そして、いかなる敵に出くわしても、「動じぬ心」で素早く攻撃へと転換すること。			不敵なる矛先							
次回は、この「ふたつの心」から成る「勇気」をどんな状況でも発揮するための試練を課すつもりだ。			次回は、この「ふたつの心」から成る「勇気」をどんな状況でも発揮するための試練を課すつもりだ。			不敵なる矛先							
槍術の腕を磨いて、また顔を出しな。お前が再びギルドに訪れる時を、楽しみに待ってるぜ。			槍術の腕を磨いて、また顔を出しな。お前が再びギルドに訪れる時を、楽しみに待ってるぜ。			不敵なる矛先							
敵の気配を感じた！！			敵の気配を感じた！！			不敵なる矛先							
槍術士ギルドの受付、ジリアンは、ギルドへの入門手続きをするにあたって、冒険者の心を確かめようとしているようだ。			槍術士ギルドの受付、ジリアンは、ギルドへの入門手続きをするにあたって、冒険者の心を確かめようとしているようだ。			道拓く槍術士							
槍術士ギルドの受付から、ギルドマスター「イウェイン」に入門の意思を伝えるよう言われた。槍術士ギルドの稽古場にいる「イウェイン」に声をかけよう。			槍術士ギルドの受付から、ギルドマスター「イウェイン」に入門の意思を伝えるよう言われた。槍術士ギルドの稽古場にいる「イウェイン」に声をかけよう。			道拓く槍術士							
槍術士ギルドマスター、イウェインからギルドの一員として槍術を学ぶことを認められた冒険者。彼から受け取った「ウェザードスピア」を装備し、もう一度、「イウェイン」に声をかけよう。			槍術士ギルドマスター、イウェインからギルドの一員として槍術を学ぶことを認められた冒険者。彼から受け取った「ウェザードスピア」を装備し、もう一度、「イウェイン」に声をかけよう。			道拓く槍術士							
槍術士ギルドのイウェインと話す			槍術士ギルドのイウェインと話す			道拓く槍術士							
私に声をかけたということは、「槍術士ギルド」への入門を決意されたということですね？			私に声をかけたということは、「槍術士ギルド」への入門を決意されたということですね？			道拓く槍術士							
なるほど……我がギルドへの入門は一大決心が必要だと。ええ、構いません、大いにお悩みください。			なるほど……我がギルドへの入門は一大決心が必要だと。ええ、構いません、大いにお悩みください。			道拓く槍術士							
ギルドの門戸はいつでも開いております故。お心が決まりましたら、声をおかけください。			ギルドの門戸はいつでも開いております故。お心が決まりましたら、声をおかけください。			道拓く槍術士							
そう仰ると思っていました。では早速、ギルドマスター「イウェイン」様をご紹介しましょう。			そう仰ると思っていました。では早速、ギルドマスター「イウェイン」様をご紹介しましょう。			道拓く槍術士							
イウェイン様は、槍術士ギルドを取りまとめている方。彼に、あなた自ら入門の意思をお伝えください。			イウェイン様は、槍術士ギルドを取りまとめている方。彼に、あなた自ら入門の意思をお伝えください。			道拓く槍術士							
奥の稽古場へ、どうぞ、お進みください。			奥の稽古場へ、どうぞ、お進みください。			道拓く槍術士							
よう、冒険者。槍術士ギルドへの入門希望者だな。			よう、冒険者。槍術士ギルドへの入門希望者だな。			道拓く槍術士							
ふん……他の術について、少しはかじっているみてぇだが、そんなひょろっちいナリじゃ、まだ鍛錬が足りねえな。			ふん……他の術について、少しはかじっているみてぇだが、そんなひょろっちいナリじゃ、まだ鍛錬が足りねえな。			道拓く槍術士							
槍術を学びに来たんだろう？なら、ギルドマスターのこの俺が、あらためて槍術と、このギルドの信念について説明してやろう。			槍術を学びに来たんだろう？なら、ギルドマスターのこの俺が、あらためて槍術と、このギルドの信念について説明してやろう。			道拓く槍術士							
戦い方は数あれど、槍術ほど攻めを意識した技はない。槍術は、どんな相手であろうと、常に安定して攻め、着実に追い込むことができる。			戦い方は数あれど、槍術ほど攻めを意識した技はない。槍術は、どんな相手であろうと、常に安定して攻め、着実に追い込むことができる。			道拓く槍術士							
熟練した槍術士となれば、流れるような槍さばきで技を繋げ、強烈な連撃を繰り出すことができるだろう。			熟練した槍術士となれば、流れるような槍さばきで技を繋げ、強烈な連撃を繰り出すことができるだろう。			道拓く槍術士							
その堅実さを維持するため、槍術士は鎧選びにも慎重だ。頑丈さと動きやすさを兼ね備えた、革鎧や鎖帷子を好むのも、攻めを貫く姿勢の表れといえる。			その堅実さを維持するため、槍術士は鎧選びにも慎重だ。頑丈さと動きやすさを兼ね備えた、革鎧や鎖帷子を好むのも、攻めを貫く姿勢の表れといえる。			道拓く槍術士							
槍術士に求められるのは、いたって単純明快。その攻撃で、敵をどれだけ突き崩せるかってことだ。			槍術士に求められるのは、いたって単純明快。その攻撃で、敵をどれだけ突き崩せるかってことだ。			道拓く槍術士							
良くも悪くも、「槍」は扱いやすい武器だ。振り回すだけでそれなりの戦力になるため、練度の低い兵にも扱いやすく、エオルゼア各所で主戦力として用いられてきた。			良くも悪くも、「槍」は扱いやすい武器だ。振り回すだけでそれなりの戦力になるため、練度の低い兵にも扱いやすく、エオルゼア各所で主戦力として用いられてきた。			道拓く槍術士							
だが、付け焼刃の槍術しか知らん兵は、不利な状況になると、たちまち恐れおののき、逃げ出しちまう。			だが、付け焼刃の槍術しか知らん兵は、不利な状況になると、たちまち恐れおののき、逃げ出しちまう。			道拓く槍術士							
槍術の真価を発揮するためには「勇気」が必要だ。ゆえに、初代ギルドマスターは、槍術士ギルドを「勇気」を教えるギルドと定めた。			槍術の真価を発揮するためには「勇気」が必要だ。ゆえに、初代ギルドマスターは、槍術士ギルドを「勇気」を教えるギルドと定めた。			道拓く槍術士							
このギルドで実戦を通じて「勇気」を学びとった時、お前は、真の槍術の力を引き出せるようになるだろう。			このギルドで実戦を通じて「勇気」を学びとった時、お前は、真の槍術の力を引き出せるようになるだろう。			道拓く槍術士							
どうだ、お前は。このギルドで槍術を極める覚悟はあるか？			どうだ、お前は。このギルドで槍術を極める覚悟はあるか？			道拓く槍術士							
覚悟がある？			覚悟がある？			道拓く槍術士							
はい			はい			道拓く槍術士							
いいえ			いいえ			道拓く槍術士							
ハハハ！　素直でいいぜ。自分の腹をよくわかっているじゃねぇか。			ハハハ！　素直でいいぜ。自分の腹をよくわかっているじゃねぇか。			道拓く槍術士							
勇気を学び、槍術を極める覚悟ができたなら、いつでも声をかけな。待ってるぜ。			勇気を学び、槍術を極める覚悟ができたなら、いつでも声をかけな。待ってるぜ。			道拓く槍術士							
よく言った！お前が「槍術士」の名を背負うこと、認めてやる。そして、ようこそ「槍術士ギルド」へ、歓迎するぜ！			よく言った！お前が「槍術士」の名を背負うこと、認めてやる。そして、ようこそ「槍術士ギルド」へ、歓迎するぜ！			道拓く槍術士							
あらためて……槍術士ギルドマスター、イウェインだ。よろしくな。			あらためて……槍術士ギルドマスター、イウェインだ。よろしくな。			道拓く槍術士							
お前の討伐手帳に、槍術の鍛錬に相応しい相手を記した項を加えてやろう。			お前の討伐手帳に、槍術の鍛錬に相応しい相手を記した項を加えてやろう。			道拓く槍術士							
めでたく槍術士ギルドの一員となったお前にこの「ウェザードスピア」をくれてやる。			めでたく槍術士ギルドの一員となったお前にこの「ウェザードスピア」をくれてやる。			道拓く槍術士							
さっそくそいつを装備してみな。槍を装備し「槍術士」になったら、俺に声をかけるんだ。正しく装備できたかどうか、確認してやろう。			さっそくそいつを装備してみな。槍を装備し「槍術士」になったら、俺に声をかけるんだ。正しく装備できたかどうか、確認してやろう。			道拓く槍術士							
新しいクラスを修得しました！受け取った武器を装備することで、クラスチェンジができます。			新しいクラスを修得しました！受け取った武器を装備することで、クラスチェンジができます。			道拓く槍術士							
クラスチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			クラスチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			道拓く槍術士							
「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			道拓く槍術士							
槍術士ギルドへの入門を認められた冒険者。受け取った槍を装備して、イウェインに声をかけよう。			槍術士ギルドへの入門を認められた冒険者。受け取った槍を装備して、イウェインに声をかけよう。			第一の槍							
イウェインから槍術士ギルドへの入門を認められた冒険者。槍に慣れるために「スクウィレル」「レディバグ」「フォレストファンガー」を3体ずつ討伐してこよう。			イウェインから槍術士ギルドへの入門を認められた冒険者。槍に慣れるために「スクウィレル」「レディバグ」「フォレストファンガー」を3体ずつ討伐してこよう。			第一の槍							
指定された魔物の討伐を終えた。「槍術士ギルド」の「イウェイン」に報告しよう。			指定された魔物の討伐を終えた。「槍術士ギルド」の「イウェイン」に報告しよう。			第一の槍							
槍術士に求められるのは、その攻撃で、敵をどれだけ突き崩せるかということ。着実な強さを手に入れるためには、たゆまぬ鍛錬と腹に据えた覚悟が必要だという。イウェインの言葉を胸に、槍術を身体に刻み込むため、一心不乱に槍を振るってこよう。※槍術士のレベルが5以上になると、イウェインから次の槍術士クエストを受注することができます。			槍術士に求められるのは、その攻撃で、敵をどれだけ突き崩せるかということ。着実な強さを手に入れるためには、たゆまぬ鍛錬と腹に据えた覚悟が必要だという。イウェインの言葉を胸に、槍術を身体に刻み込むため、一心不乱に槍を振るってこよう。※槍術士のレベルが5以上になると、イウェインから次の槍術士クエストを受注することができます。			第一の槍							
槍術でスクウィレルを討伐			槍術でスクウィレルを討伐			第一の槍							
槍術でレディバグを討伐			槍術でレディバグを討伐			第一の槍							
槍術でフォレストファンガーを討伐			槍術でフォレストファンガーを討伐			第一の槍							
槍術士ギルドのイウェインと話す			槍術士ギルドのイウェインと話す			第一の槍							
槍を装備できたみたいだな。ほう……なかなかサマになってるじゃねえか。			槍を装備できたみたいだな。ほう……なかなかサマになってるじゃねえか。			第一の槍							
腕が鳴ってしょうがねえって様子だな。そう焦るな、まずは腕試しからだ。			腕が鳴ってしょうがねえって様子だな。そう焦るな、まずは腕試しからだ。			第一の槍							
都市を出てすぐのところにいる魔物を相手に、槍を振るってこい。槍の間合いや重さを身体に叩きこむんだ。			都市を出てすぐのところにいる魔物を相手に、槍を振るってこい。槍の間合いや重さを身体に叩きこむんだ。			第一の槍							
そうだな……「スクウィレル」、「レディバグ」、「フォレストファンガー」あたりが丁度いいだろう。			そうだな……「スクウィレル」、「レディバグ」、「フォレストファンガー」あたりが丁度いいだろう。			第一の槍							
それぞれ3体ずつ倒してみな。槍術士の戦い方ってもんを、その身で学んできな。			それぞれ3体ずつ倒してみな。槍術士の戦い方ってもんを、その身で学んできな。			第一の槍							
よし、戻ったな。どうだ、槍術ってモンを、少しはつかめたか？			よし、戻ったな。どうだ、槍術ってモンを、少しはつかめたか？			第一の槍							
敵と戦い経験を積めば、技の威力は上がるだろう。だが、最初に言ったように、槍術の真の力を引き出すにはこのギルドで「勇気」を知る必要がある。			敵と戦い経験を積めば、技の威力は上がるだろう。だが、最初に言ったように、槍術の真の力を引き出すにはこのギルドで「勇気」を知る必要がある。			第一の槍							
……わかってるって顔だな。ふん、なかなか見所がありそうじゃねぇか。			……わかってるって顔だな。ふん、なかなか見所がありそうじゃねぇか。			第一の槍							
まずはその調子で、槍術を身体に教えこめ。十分に腕を上げたら、いよいよ次は「勇気」を教えてやる。			まずはその調子で、槍術を身体に教えこめ。十分に腕を上げたら、いよいよ次は「勇気」を教えてやる。			第一の槍							
……「槍術士」Forename Surname。いっそう強くなったお前に会える時を楽しみに待ってるぜ。			……「槍術士」Forename Surname。いっそう強くなったお前に会える時を楽しみに待ってるぜ。			第一の槍							
「槍術士」のクラスクエストが開始されました。次のクエストは「レベル5」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			「槍術士」のクラスクエストが開始されました。次のクエストは「レベル5」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			第一の槍							
